src,dst,kind
article-30.4,article-30.5,HAS_SUBUNIT
article-31,article-31.1,HAS_SUBUNIT
article-31.1,article-31.2,HAS_SUBUNIT
article-31.2,article-31.3,HAS_SUBUNIT
article-31.3,article-31.4,HAS_SUBUNIT
article-31.4,article-31.5,HAS_SUBUNIT
article-31.5,article-31.6,HAS_SUBUNIT
article-31.6,article-31.7,HAS_SUBUNIT
article-31.7,article-31.8,HAS_SUBUNIT
article-31.8,article-31.9,HAS_SUBUNIT
article-31.9,article-31.10,HAS_SUBUNIT
article-31.10,article-31.11,HAS_SUBUNIT
article-31.11,article-31.12,HAS_SUBUNIT
article-33,article-33.1,HAS_SUBUNIT
article-33.1,article-33.2,HAS_SUBUNIT
article-33.2,article-33.3,HAS_SUBUNIT
article-33.3,article-33.4,HAS_SUBUNIT
article-34,article-34.1,HAS_SUBUNIT
article-34.1,article-34.2,HAS_SUBUNIT
article-34.2,article-34.3,HAS_SUBUNIT
article-35,article-35.1,HAS_SUBUNIT
article-35.1,article-35.2,HAS_SUBUNIT
article-36,article-36.1,HAS_SUBUNIT
article-36.1,article-36.2,HAS_SUBUNIT
article-36.2,article-36.3,HAS_SUBUNIT
article-36.3,article-36.4,HAS_SUBUNIT
article-36.4,article-36.5,HAS_SUBUNIT
article-36.5,article-36.6,HAS_SUBUNIT
article-36.6,article-36.7,HAS_SUBUNIT
article-36.7,article-36.7.a,HAS_SUBUNIT
article-36.7.a,article-36.7.a.b,HAS_SUBUNIT
article-36.7.a.b,article-36.7.a.b.c,HAS_SUBUNIT
article-36.7.a.b.c,article-36.7.a.b.c.d,HAS_SUBUNIT
article-36.7.a.b.c.d,article-36.7.a.b.c.d.e,HAS_SUBUNIT
article-36.7.a.b.c.d.e,article-36.8,HAS_SUBUNIT
article-36.8,article-36.8.a,HAS_SUBUNIT
article-36.8.a,article-36.8.a.b,HAS_SUBUNIT
article-36.8.a.b,article-36.9,HAS_SUBUNIT
article-36.9,article-36.9.a,HAS_SUBUNIT
article-36.9.a,article-36.9.a.b,HAS_SUBUNIT
article-37,article-37.1,HAS_SUBUNIT
article-37.1,article-37.2,HAS_SUBUNIT
article-37.2,article-37.3,HAS_SUBUNIT
article-37.3,article-37.4,HAS_SUBUNIT
article-38,article-38.1,HAS_SUBUNIT
article-38.1,article-38.2,HAS_SUBUNIT
article-38.2,article-38.3,HAS_SUBUNIT
article-4,article-4.1,HAS_SUBUNIT
article-4.1,article-4.2,HAS_SUBUNIT
article-4.2,article-4.3,HAS_SUBUNIT
article-40,article-40.1,HAS_SUBUNIT
article-40.1,article-40.2,HAS_SUBUNIT
article-40.2,article-40.3,HAS_SUBUNIT
article-41,article-41.1,HAS_SUBUNIT
article-41.1,article-41.1.a,HAS_SUBUNIT
article-41.1.a,article-41.1.a.i,HAS_SUBUNIT
article-41.1.a.i,article-41.1.a.i.ii,HAS_SUBUNIT
article-41.1.a.i.ii,article-41.1.a.i.ii.iii,HAS_SUBUNIT
article-41.1.a.i.ii.iii,article-41.1.a.i.ii.iii.iv,HAS_SUBUNIT
article-41.1.a.i.ii.iii.iv,article-41.1.a.i.ii.iii.iv.b,HAS_SUBUNIT
article-41.1.a.i.ii.iii.iv.b,article-41.2,HAS_SUBUNIT
article-41.2,article-41.3,HAS_SUBUNIT
article-41.3,article-41.4,HAS_SUBUNIT
article-41.4,article-41.5,HAS_SUBUNIT
article-41.5,article-41.6,HAS_SUBUNIT
article-42,article-42.1,HAS_SUBUNIT
